------------------------------------------------------------------
          COSMO v0.8.5 - A Quadratic Objective Conic Solver
                         Michael Garstka
                University of Oxford, 2017 - 2022
------------------------------------------------------------------

Problem:  x ∈ R^{2868},
          constraints: A ∈ R^{5531x2868} (14910 nnz),
          matrix size to factor: 8399x8399,
          Floating-point precision: Float64
Sets:     ZeroSet of dim: 2903
          DensePsdConeTriangle of dim: 2628 (72x72)
Settings: ϵ_abs = 1.0e-05, ϵ_rel = 1.0e-05,
          ϵ_prim_inf = 1.0e-04, ϵ_dual_inf = 1.0e-04,
          ρ = 0.1, σ = 1e-06, α = 1.6,
          max_iter = 1000000,
          scaling iter = 10 (on),
          check termination every 25 iter,
          check infeasibility every 40 iter,
          KKT system solver: QDLDL
Acc:      Anderson Type2{QRDecomp},
          Memory size = 15, RestartedMemory,	
          Safeguarded: true, tol: 2.0
Setup Time: 858.53ms

Iter:	Objective:	Primal Res:	Dual Res:	Rho:
3300	 2.3884e+02	1.2674e+03	4.0052e-02	2.2861e-06
3325	 2.3848e+02	1.1340e+03	4.0060e-02	2.2861e-06
3350	 2.3838e+02	1.1363e+03	4.0112e-02	2.2861e-06
3375	 2.3816e+02	1.1371e+03	3.9579e-02	2.2861e-06
3400	 2.3696e+02	1.1347e+03	3.9399e-02	2.2861e-06
3425	 2.3681e+02	1.1437e+03	3.9493e-02	2.2861e-06
3450	 2.3677e+02	1.1441e+03	3.9133e-02	2.2861e-06
3475	 2.3668e+02	1.1437e+03	3.8803e-02	2.2861e-06
3500	 2.3660e+02	1.1443e+03	3.9231e-02	2.2861e-06
3525	 2.3662e+02	3.0900e+03	3.6943e-02	2.2861e-06
3550	 2.3631e+02	5.1969e+03	3.3761e-02	2.2861e-06
3575	 2.3627e+02	1.1448e+03	3.9209e-02	2.2861e-06
3600	 2.3578e+02	1.1472e+03	3.8584e-02	2.2861e-06
3625	 2.3572e+02	1.1479e+03	3.8993e-02	2.2861e-06
3650	 2.3537e+02	1.1486e+03	3.8567e-02	2.2861e-06
3675	 2.3465e+02	1.1519e+03	3.7764e-02	2.2861e-06
3700	 2.3432e+02	1.8417e+03	3.8732e-02	2.2861e-06
3725	 2.3435e+02	1.7851e+03	3.8518e-02	2.2861e-06
3750	 2.3425e+02	1.1526e+03	3.7993e-02	2.2861e-06
3775	 2.3399e+02	1.1540e+03	3.7177e-02	2.2861e-06
3800	 2.3343e+02	1.1547e+03	3.8509e-02	2.2861e-06
3825	 2.3317e+02	1.1563e+03	3.8508e-02	2.2861e-06
3850	 2.3306e+02	1.1567e+03	3.8576e-02	2.2861e-06
3875	 2.3263e+02	1.1580e+03	3.6662e-02	2.2861e-06
3900	 2.3218e+02	1.1596e+03	3.7229e-02	2.2861e-06
3925	 2.3182e+02	1.1609e+03	3.6333e-02	2.2861e-06
3950	 2.3152e+02	1.1608e+03	3.5426e-02	2.2861e-06
3975	 2.3075e+02	1.1628e+03	3.4572e-02	2.2861e-06
4000	 2.3017e+02	1.1647e+03	3.4592e-02	2.2861e-06
